Genus,Family,C_value,tavg,perc_ag,perc_per,HybProp,Hyb_Ratio
Pycnanthemum,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,0.0,0.0
Pycnosorus,Asteraceae,1.687142857,0.7295,0.00210989,0.333333333,0.0,0.0
Pycreus,Cyperaceae,1.687142857,0.7295,0.00045977,0.25,0.0,0.0
Pyracantha,Rosaceae,0.725,0.7295,0.001060071,1.0,0.0,0.0
Pyrola,Ericaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pyrrhopappus,Asteraceae,6.465,0.7295,0.00210989,0.5,0.0,0.0
Pyrrocoma,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Pyrularia,Santalaceae,1.687142857,0.7295,0.002139037,1.0,0.0,0.0
Pyrus,Rosaceae,0.626,0.7295,0.001060071,1.0,0.952380952,0.066666667
Quercus,Fagaceae,0.906086957,0.985,0.001492537,1.0,1.865203762,0.811363636
Rafinesquia,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Raillardella,Asteraceae,1.687142857,0.7295,0.00210989,1.0,33.33333333,0.333333333
Raillardiopsis,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Ramonda,Gesneriaceae,2.842857143,0.7295,0.0,1.0,0.0,0.0
Ranunculus,Ranunculaceae,6.890787402,0.7295,0.0,0.774545455,0.044003432,0.066225166
Raphanus,Brassicaceae,0.664444444,0.7295,0.00485306,0.090909091,3.636363636,0.181818182
Rapistrum,Brassicaceae,1.687142857,0.7295,0.00485306,0.25,0.0,0.0
Ratibida,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Reichardia,Asteraceae,1.7725,0.7295,0.00210989,0.583333333,0.0,0.0
Remya,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Reseda,Resedaceae,0.43,0.7295,0.026666667,0.378787879,0.0,0.0
Restio,Restionaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Reynoutria,Polygonaceae,2.573,0.7295,0.002727273,1.0,16.66666667,0.25
Rhagodia,Amaranthaceae,1.687142857,0.7295,0.041463415,1.0,0.0,0.0
Rhamnus,Rhamnaceae,0.581428571,0.7295,0.004444444,1.0,0.189393939,0.03030303
Rheum,Polygonaceae,1.687142857,0.7295,0.002727273,1.0,0.0,0.0
Rhexia,Melastomataceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Rhinanthus,Orobanchaceae,3.5,0.7295,0.0,0.0,0.0,0.0
Rhodanthe,Asteraceae,1.687142857,0.7295,0.00210989,0.1,0.0,0.0
Rhodiola,Crassulaceae,1.687142857,0.728,0.0,1.0,0.0,0.0
Rhododendron,Ericaceae,1.687142857,0.8,0.0,1.0,0.0,0.0
Rhus,Anacardiaceae,1.687142857,0.7295,0.002030457,1.0,1.470588235,0.117647059
Rhynchosinapis,Brassicaceae,1.687142857,0.7295,0.00485306,0.5,0.0,0.0
Rhynchospora,Cyperaceae,1.687142857,0.7295,0.00045977,1.0,0.0,0.0
Rhytidosporum,Pittosporaceae,1.687142857,0.7295,0.005,1.0,0.0,0.0
Ribes,Grossulariaceae,0.886,0.7295,0.0,1.0,0.088157508,0.036144578
Richea,Ericaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Ricotia,Brassicaceae,1.687142857,0.7295,0.00485306,0.5,0.0,0.0
Rindera,Boraginaceae,1.687142857,0.7295,0.001824818,1.0,0.0,0.0
Robinia,Fabaceae,0.695,0.8,0.096494845,1.0,0.0,0.0
Rollandia,Campanulaceae,1.687142857,0.7295,0.0,1.0,3.571428571,0.125
Romanzoffia,Boraginaceae,1.687142857,0.7295,0.001824818,1.0,0.0,0.0
Romneya,Papaveraceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Romulea,Iridaceae,1.687142857,0.7295,0.0,1.0,2.197802198,0.142857143
Rorippa,Brassicaceae,0.62,0.7295,0.00485306,0.656341928,0.951877314,0.290322581
Rosa,Rosaceae,0.785,0.7295,0.001060071,1.0,1.171624714,0.667826087
